"","GOID","TERM"
"28226","GO:0061311","cell surface receptor signaling pathway involved in heart development"
"28227","GO:0061312","BMP signaling pathway involved in heart development"
"28228","GO:0061313","fibroblast growth factor receptor signaling pathway involved in heart development"
"28229","GO:0061314","Notch signaling involved in heart development"
"28230","GO:0061315","canonical Wnt signaling pathway involved in positive regulation of cardiac muscle cell proliferation"
"28231","GO:0061316","canonical Wnt signaling pathway involved in heart development"
"28232","GO:0061317","canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment"
"28233","GO:0061318","renal filtration cell differentiation"
"28234","GO:0061319","nephrocyte differentiation"
"28235","GO:0061320","pericardial nephrocyte differentiation"
"28236","GO:0061321","garland nephrocyte differentiation"
"28237","GO:0061322","disseminated nephrocyte differentiation"
"28238","GO:0061323","cell proliferation involved in heart morphogenesis"
"28239","GO:0061324","canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation"
"28240","GO:0061325","cell proliferation involved in outflow tract morphogenesis"
"28241","GO:0061326","renal tubule development"
"28242","GO:0061327","anterior Malpighian tubule development"
"28243","GO:0061328","posterior Malpighian tubule development"
"28244","GO:0061329","Malpighian tubule principal cell differentiation"
"28245","GO:0061330","Malpighian tubule stellate cell differentiation"
"28246","GO:0061331","epithelial cell proliferation involved in Malpighian tubule morphogenesis"
"28247","GO:0061332","Malpighian tubule bud morphogenesis"
"28248","GO:0061333","renal tubule morphogenesis"
"28249","GO:0061334","cell rearrangement involved in Malpighian tubule morphogenesis"
"28250","GO:0061335","cell growth involved in Malpighian tubule morphogenesis"
"28251","GO:0061336","cell morphogenesis involved in Malpighian tubule morphogenesis"
"28252","GO:0061337","cardiac conduction"
"28253","GO:0061339","establishment or maintenance of monopolar cell polarity"
"28254","GO:0061340","establishment or maintenance of monopolar cell polarity regulating cell shape"
"28255","GO:0061341","non-canonical Wnt signaling pathway involved in heart development"
"28256","GO:0061342","regulation of cell adhesion involved in heart morphogenesis by non-canonical Wnt signaling pathway"
"28257","GO:0061343","cell adhesion involved in heart morphogenesis"
"28258","GO:0061344","regulation of cell adhesion involved in heart morphogenesis"
"28259","GO:0061345","planar cell polarity pathway involved in cardiac muscle cell fate commitment"
"28260","GO:0061346","planar cell polarity pathway involved in heart morphogenesis"
"28261","GO:0061347","planar cell polarity pathway involved in outflow tract morphogenesis"
"28262","GO:0061348","planar cell polarity pathway involved in ventricular septum morphogenesis"
"28263","GO:0061349","planar cell polarity pathway involved in cardiac right atrium morphogenesis"
"28264","GO:0061350","planar cell polarity pathway involved in cardiac muscle tissue morphogenesis"
"28265","GO:0061351","neural precursor cell proliferation"
"28266","GO:0061352","cell chemotaxis involved in Malpighian tubule morphogenesis"
"28267","GO:0061353","BMP signaling pathway involved in Malpighian tubule cell chemotaxis"
"28268","GO:0061354","planar cell polarity pathway involved in pericardium morphogenesis"
"28269","GO:0061355","Wnt protein secretion"
"28270","GO:0061356","regulation of Wnt protein secretion"
"28271","GO:0061357","positive regulation of Wnt protein secretion"
"28272","GO:0061358","negative regulation of Wnt protein secretion"
"28273","GO:0061359","regulation of Wnt signaling pathway by Wnt protein secretion"
"28274","GO:0061360","optic chiasma development"
"28275","GO:0061361","positive regulation of maintenance of bipolar cell polarity regulating cell shape"
"28276","GO:0061362","negative regulation of maintenance of bipolar cell polarity regulating cell shape"
"28277","GO:0061363","negative regulation of progesterone biosynthesis involved in luteolysis"
"28278","GO:0061364","apoptotic process involved in luteolysis"
"28279","GO:0061365","positive regulation of triglyceride lipase activity"
"28280","GO:0061366","behavioral response to chemical pain"
"28281","GO:0061367","behavioral response to acetic acid induced pain"
"28282","GO:0061368","behavioral response to formalin induced pain"
"28283","GO:0061369","negative regulation of testicular blood vessel morphogenesis"
"28284","GO:0061370","testosterone biosynthetic process"
"28285","GO:0061371","determination of heart left/right asymmetry"
"28286","GO:0061372","activin receptor signaling pathway involved in heart jogging"
"28287","GO:0061373","mammillary axonal complex development"
"28288","GO:0061374","mammillothalamic axonal tract development"
"28289","GO:0061375","mammillotectal axonal tract development"
"28290","GO:0061376","mammillotegmental axonal tract development"
"28291","GO:0061377","mammary gland lobule development"
"28292","GO:0061378","corpora quadrigemina development"
"28293","GO:0061379","inferior colliculus development"
"28294","GO:0061380","superior colliculus development"
"28295","GO:0061381","cell migration in diencephalon"
"28296","GO:0061382","Malpighian tubule tip cell differentiation"
"28297","GO:0061383","trabecula morphogenesis"
"28298","GO:0061384","heart trabecula morphogenesis"
"28299","GO:0061385","fibroblast proliferation involved in heart morphogenesis"
"28300","GO:0061386","closure of optic fissure"
"28301","GO:0061387","regulation of extent of cell growth"
"28302","GO:0061388","regulation of rate of cell growth"
"28303","GO:0061389","regulation of direction of cell growth"
"28304","GO:0061390","positive regulation of direction of cell growth"
"28305","GO:0061391","negative regulation of direction of cell growth"
"28306","GO:0061394","regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance"
"28307","GO:0061395","positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance"
"28308","GO:0061399","positive regulation of transcription from RNA polymerase II promoter in response to cobalt ion"
"28309","GO:0061400","positive regulation of transcription from RNA polymerase II promoter in response to calcium ion"
"28310","GO:0061402","positive regulation of transcription from RNA polymerase II promoter in response to acidic pH"
"28311","GO:0061403","positive regulation of transcription from RNA polymerase II promoter in response to nitrosative stress"
"28312","GO:0061405","positive regulation of transcription from RNA polymerase II promoter in response to hydrostatic pressure"
"28313","GO:0061406","positive regulation of transcription from RNA polymerase II promoter in response to glucose starvation"
"28314","GO:0061407","positive regulation of transcription from RNA polymerase II promoter in response to hydrogen peroxide"
"28315","GO:0061408","positive regulation of transcription from RNA polymerase II promoter in response to heat stress"
"28316","GO:0061409","positive regulation of transcription from RNA polymerase II promoter in response to freezing"
"28317","GO:0061410","positive regulation of transcription from RNA polymerase II promoter in response to ethanol"
"28318","GO:0061411","positive regulation of transcription from RNA polymerase II promoter in response to cold"
"28319","GO:0061412","positive regulation of transcription from RNA polymerase II promoter in response to amino acid starvation"
"28320","GO:0061413","regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source"
"28321","GO:0061414","positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source"
"28322","GO:0061415","negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source"
"28323","GO:0061417","negative regulation of transcription from RNA polymerase II promoter in response to oxidative stress"
"28324","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia"
"28325","GO:0061419","positive regulation of transcription from RNA polymerase II promoter in response to hypoxia"
"28326","GO:0061420","regulation of transcription from RNA polymerase II promoter in response to biotin starvation"
"28327","GO:0061421","positive regulation of transcription by oleic acid"
"28328","GO:0061422","positive regulation of transcription from RNA polymerase II promoter in response to alkaline pH"
"28329","GO:0061423","positive regulation of sodium ion transport by positive regulation of transcription from RNA polymerase II promoter"
"28330","GO:0061425","positive regulation of ethanol catabolic process by positive regulation of transcription from RNA polymerase II promoter"
"28331","GO:0061426","positive regulation of sulfite transport by positive regulation of transcription from RNA polymerase II promoter"
"28332","GO:0061428","negative regulation of transcription from RNA polymerase II promoter in response to hypoxia"
"28333","GO:0061429","positive regulation of transcription from RNA polymerase II promoter by oleic acid"
"28334","GO:0061430","bone trabecula morphogenesis"
"28335","GO:0061431","cellular response to methionine"
"28336","GO:0061433","cellular response to caloric restriction"
"28337","GO:0061435","positive regulation of transcription from a mobile element promoter"
"28338","GO:0061436","establishment of skin barrier"
"28339","GO:0061437","renal system vasculature development"
"28340","GO:0061438","renal system vasculature morphogenesis"
"28341","GO:0061439","kidney vasculature morphogenesis"
"28342","GO:0061440","kidney vasculature development"
"28343","GO:0061441","renal artery morphogenesis"
"28344","GO:0061442","cardiac muscle cell fate determination"
"28345","GO:0061443","endocardial cushion cell differentiation"
"28346","GO:0061444","endocardial cushion cell development"
"28347","GO:0061445","endocardial cushion cell fate commitment"
"28348","GO:0061446","endocardial cushion cell fate determination"
"28349","GO:0061447","endocardial cushion cell fate specification"
"28350","GO:0061448","connective tissue development"
"28351","GO:0061449","olfactory bulb tufted cell development"
"28352","GO:0061450","trophoblast cell migration"
"28353","GO:0061451","retrotrapezoid nucleus development"
"28354","GO:0061452","retrotrapezoid nucleus neuron differentiation"
"28355","GO:0061453","interstitial cell of Cajal differentiation"
"28356","GO:0061454","release of sequestered calcium ion into cytosol by Golgi"
"28357","GO:0061455","integral component of muscle cell projection membrane"
"28358","GO:0061456","mesenchymal stem cell migration involved in uteric bud morphogenesis"
"28359","GO:0061457","mesonephric cell migration involved in male gonad development"
"28360","GO:0061458","reproductive system development"
"28361","GO:0061459","L-arginine transmembrane transporter activity"
"28362","GO:0061462","protein localization to lysosome"
"28363","GO:0061463","O-acetyl-ADP-ribose deacetylase activity"
"28364","GO:0061468","karyomere"
"28365","GO:0061469","regulation of type B pancreatic cell proliferation"
"28366","GO:0061470","T follicular helper cell differentiation"
"28367","GO:0061471","karyomere assembly"
"28368","GO:0061472","karyomere membrane fusion"
"28369","GO:0061473","murein tripeptide carboxypeptidase activity"
"28370","GO:0061474","phagolysosome membrane"
"28371","GO:0061475","cytosolic valyl-tRNA aminoacylation"
"28372","GO:0061476","response to anticoagulant"
"28373","GO:0061477","response to aromatase inhibitor"
"28374","GO:0061478","response to platelet aggregation inhibitor"
"28375","GO:0061479","response to reverse transcriptase inhibitor"
"28376","GO:0061480","response to asparaginase"
"28377","GO:0061481","response to TNF agonist"
"28378","GO:0061482","response to irinotecan"
"28379","GO:0061483","sulfinylpropanyl adenylate synthase"
"28380","GO:0061484","hematopoietic stem cell homeostasis"
"28381","GO:0061485","memory T cell proliferation"
"28382","GO:0061486","high-affinity fructose transmembrane transporter activity"
"28383","GO:0061492","asymmetric protein localization to old or new spindle pole body"
"28384","GO:0061493","central plaque of mitotic spindle pole body"
"28385","GO:0061494","gamma-tubulin large complex, mitotic spindle pole body"
"28386","GO:0061495","gamma-tubulin small complex, mitotic spindle pole body"
"28387","GO:0061496","half bridge of mitotic spindle pole body"
"28388","GO:0061497","inner plaque of mitotic spindle pole body"
"28389","GO:0061498","intermediate layer of mitotic spindle pole body"
"28390","GO:0061499","outer plaque of mitotic spindle pole body"
"28391","GO:0061500","gene conversion at mating-type locus, termination of copy-synthesis"
"28392","GO:0061501","cyclic-GMP-AMP synthase activity"
"28393","GO:0061502","early endosome to recycling endosome transport"
"28394","GO:0061503","tRNA threonylcarbamoyladenosine dehydratase"
"28395","GO:0061504","cyclic threonylcarbamoyladenosine biosynthetic process"
"28396","GO:0061507","cyclic-GMP-AMP binding"
"28397","GO:0061508","CDP phosphorylation"
"28398","GO:0061509","asymmetric protein localization to old mitotic spindle pole body"
"28399","GO:0061510","asymmetric protein localization to new mitotic spindle pole body"
"28400","GO:0061511","centriole elongation"
"28401","GO:0061512","protein localization to cilium"
"28402","GO:0061513","glucose 6-phosphate:inorganic phosphate antiporter activity"
"28403","GO:0061514","interleukin-34-mediated signaling pathway"
"28404","GO:0061515","myeloid cell development"
"28405","GO:0061516","monocyte proliferation"
"28406","GO:0061517","macrophage proliferation"
"28407","GO:0061518","microglial cell proliferation"
"28408","GO:0061519","macrophage homeostasis"
"28409","GO:0061520","Langerhans cell differentiation"
"28410","GO:0061521","hepatic stellate cell differentiation"
"28411","GO:0061522","1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity"
"28412","GO:0061523","cilium disassembly"
"28413","GO:0061524","central canal development"
"28414","GO:0061525","hindgut development"
"28415","GO:0061526","acetylcholine secretion"
"28416","GO:0061527","dopamine secretion, neurotransmission"
"28417","GO:0061528","aspartate secretion"
"28418","GO:0061529","epinephrine secretion, neurotransmission"
"28419","GO:0061530","aspartate secretion, neurotransmission"
"28420","GO:0061531","primary amine secretion"
"28421","GO:0061532","primary amine secretion, neurotransmission"
"28422","GO:0061533","norepinephrine secretion, neurotransmission"
"28423","GO:0061534","gamma-aminobutyric acid secretion, neurotransmission"
"28424","GO:0061535","glutamate secretion, neurotransmission"
"28425","GO:0061536","glycine secretion"
"28426","GO:0061537","glycine secretion, neurotransmission"
"28427","GO:0061538","histamine secretion, neurotransmission"
"28428","GO:0061539","octopamine secretion"
"28429","GO:0061540","octopamine secretion, neurotransmission"
"28430","GO:0061541","rhabdomere morphogenesis"
"28431","GO:0061542","3-demethylubiquinol-n 3-O-methyltransferase activity"
"28432","GO:0061543","3-demethylubiquinol-6 3-O-methyltransferase activity"
"28433","GO:0061544","peptide secretion, neurotransmission"
"28434","GO:0061545","tyramine secretion"
"28435","GO:0061546","tyramine secretion, neurotransmission"
"28436","GO:0061547","glycogen synthase activity, transferring glucose-1-phosphate"
"28437","GO:0061548","ganglion development"
"28438","GO:0061549","sympathetic ganglion development"
"28439","GO:0061550","cranial ganglion development"
"28440","GO:0061551","trigeminal ganglion development"
"28441","GO:0061552","ganglion morphogenesis"
"28442","GO:0061553","ganglion maturation"
"28443","GO:0061554","ganglion formation"
"28444","GO:0061555","ganglion structural organization"
"28445","GO:0061556","trigeminal ganglion morphogenesis"
"28446","GO:0061557","trigeminal ganglion maturation"
"28447","GO:0061558","cranial ganglion maturation"
"28448","GO:0061559","cranial ganglion morphogenesis"
"28449","GO:0061560","cranial ganglion formation"
"28450","GO:0061561","trigeminal ganglion formation"
"28451","GO:0061562","cranial ganglion structural organization"
"28452","GO:0061563","trigeminal ganglion structural organization"
"28453","GO:0061564","axon development"
"28454","GO:0061565","dAMP phosphorylation"
"28455","GO:0061566","CMP phosphorylation"
"28456","GO:0061567","dCMP phosphorylation"
"28457","GO:0061568","GDP phosphorylation"
"28458","GO:0061569","UDP phosphorylation"
"28459","GO:0061570","dCDP phosphorylation"
"28460","GO:0061571","TDP phosphorylation"
"28461","GO:0061572","actin filament bundle organization"
"28462","GO:0061573","actin filament bundle retrograde transport"
"28463","GO:0061574","ASAP complex"
"28464","GO:0061575","cyclin-dependent protein serine/threonine kinase activator activity"
"28465","GO:0061576","acyl-CoA ceramide synthase complex"
"28466","GO:0061577","calcium ion transmembrane transport via high voltage-gated calcium channel"
"28467","GO:0061578","Lys63-specific deubiquitinase activity"
"28468","GO:0061579","N-acyl homoserine lactone synthase activity"
"28469","GO:0061580","colon epithelial cell migration"
"28470","GO:0061581","corneal epithelial cell migration"
"28471","GO:0061582","intestinal epithelial cell migration"
"28472","GO:0061583","colon epithelial cell chemotaxis"
"28473","GO:0061584","hypocretin secretion"
"28474","GO:0061585","hypocretin secretion, neurotransmission"
"28475","GO:0061586","positive regulation of transcription by transcription factor localization"
"28476","GO:0061587","transfer RNA gene-mediated silencing"
"28477","GO:0061588","calcium activated phospholipid scrambling"
"28478","GO:0061589","calcium activated phosphatidylserine scrambling"
"28479","GO:0061590","calcium activated phosphatidylcholine scrambling"
"28480","GO:0061591","calcium activated galactosylceramide scrambling"
"28481","GO:0061592","phosphatidylserine exposure on osteoblast involved in bone mineralization"
"28482","GO:0061593","sulfoquinovose isomerase activity"
"28483","GO:0061594","6-deoxy-6-sulfofructose kinase activity"
"28484","GO:0061595","6-deoxy-6-sulfofructose-1-phosphate aldolase activity"
"28485","GO:0061596","3-sulfolactaldehyde reductase activity"
"28486","GO:0061598","molybdopterin adenylyltransferase activity"
"28487","GO:0061599","molybdopterin molybdotransferase activity"
"28488","GO:0061602","molybdenum cofactor cytidylyltransferase activity"
"28489","GO:0061603","molybdenum cofactor guanylyltransferase activity"
"28490","GO:0061604","molybdopterin-synthase sulfurtransferase activity"
"28491","GO:0061605","molybdopterin-synthase adenylyltransferase activity"
"28492","GO:0061606","N-terminal protein amino acid propionylation"
"28493","GO:0061607","peptide alpha-N-propionyltransferase activity"
"28494","GO:0061608","nuclear import signal receptor activity"
"28495","GO:0061609","fructose-1-phosphate aldolase activity"
"28496","GO:0061610","glycerol to glycerone phosphate metabolic process"
"28497","GO:0061611","mannose to fructose-6-phosphate metabolic process"
"28498","GO:0061612","galactose to glucose-1-phosphate metabolic process"
"28499","GO:0061613","glycolytic process from glycerol"
"28500","GO:0061614","pri-miRNA transcription by RNA polymerase II"
"28501","GO:0061615","glycolytic process through fructose-6-phosphate"
"28502","GO:0061616","glycolytic process from fructose through fructose-6-phosphate"
"28503","GO:0061617","MICOS complex"
"28504","GO:0061619","glycolytic process from mannose through fructose-6-phosphate"
"28505","GO:0061620","glycolytic process through glucose-6-phosphate"
"28506","GO:0061621","canonical glycolysis"
"28507","GO:0061622","glycolytic process through glucose-1-phosphate"
"28508","GO:0061623","glycolytic process from galactose"
"28509","GO:0061624","fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate"
"28510","GO:0061625","glycolytic process through fructose-1-phosphate"
"28511","GO:0061626","pharyngeal arch artery morphogenesis"
"28512","GO:0061627","S-methylmethionine-homocysteine S-methyltransferase activity"
"28513","GO:0061628","H3K27me3 modified histone binding"
"28514","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding"
"28515","GO:0061630","ubiquitin protein ligase activity"
"28516","GO:0061631","ubiquitin conjugating enzyme activity"
"28517","GO:0061632","RNA lariat debranching enzyme activator activity"
"28518","GO:0061633","transport-coupled glycolytic process through glucose-6-phosphate"
"28519","GO:0061634","alpha-D-xyloside xylohydrolase"
"28520","GO:0061635","regulation of protein complex stability"
"28521","GO:0061638","CENP-A containing chromatin"
"28522","GO:0061639","Cdv-dependent cytokinesis"
"28523","GO:0061640","cytoskeleton-dependent cytokinesis"
"28524","GO:0061641","CENP-A containing chromatin organization"
"28525","GO:0061642","chemoattraction of axon"
"28526","GO:0061643","chemorepulsion of axon"
"28527","GO:0061644","protein localization to CENP-A containing chromatin"
"28528","GO:0061645","endocytic patch"
"28529","GO:0061646","positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization"
"28530","GO:0061647","histone H3-K9 modification"
"28531","GO:0061648","tooth replacement"
"28532","GO:0061649","ubiquitin modification-dependent histone binding"
"28533","GO:0061650","ubiquitin-like protein conjugating enzyme activity"
"28534","GO:0061651","Atg12 conjugating enzyme activity"
"28535","GO:0061652","FAT10 conjugating enzyme activity"
"28536","GO:0061653","ISG15 conjugating enzyme activity"
"28537","GO:0061654","NEDD8 conjugating enzyme activity"
"28538","GO:0061655","Pup conjugating enzyme activity"
"28539","GO:0061656","SUMO conjugating enzyme activity"
"28540","GO:0061657","UFM1 conjugating enzyme activity"
"28541","GO:0061658","URM1 conjugating enzyme activity"
"28542","GO:0061659","ubiquitin-like protein ligase activity"
"28543","GO:0061660","Atg12 ligase activity"
"28544","GO:0061661","FAT10 ligase activity"
"28545","GO:0061662","ISG15 ligase activity"
"28546","GO:0061663","NEDD8 ligase activity"
"28547","GO:0061664","Pup ligase activity"
"28548","GO:0061665","SUMO ligase activity"
"28549","GO:0061666","UFM1 ligase activity"
"28550","GO:0061667","URM1 ligase activity"
"28551","GO:0061668","mitochondrial ribosome assembly"
"28552","GO:0061669","spontaneous neurotransmitter secretion"
"28553","GO:0061670","evoked neurotransmitter secretion"
"28554","GO:0061671","Cbp3p-Cbp6 complex"
"28555","GO:0061672","glutathione hydrolase complex"
"28556","GO:0061673","mitotic spindle astral microtubule"
"28557","GO:0061674","gap filling involved in double-strand break repair via nonhomologous end joining"
"28558","GO:0061675","RBL family protein binding"
"28559","GO:0061676","importin-alpha family protein binding"
"28560","GO:0061677","2-dehydro-3-deoxy-D-gluconate aldolase activity"
"28561","GO:0061678","Entner-Doudoroff pathway"
"28562","GO:0061679","Entner-Doudoroff pathway through gluconate"
"28563","GO:0061680","Entner-Doudoroff pathway through gluconate to D-glyceraldehyde"
"28564","GO:0061681","Entner-Doudoroff pathway through gluconate to D-glyceraldehyde-3-phosphate"
"28565","GO:0061682","seminal vesicle morphogenesis"
"28566","GO:0061683","branching involved in seminal vesicle morphogenesis"
"28567","GO:0061684","chaperone-mediated autophagy"
"28568","GO:0061685","diphthine methylesterase activity"
"28569","GO:0061686","hercynylcysteine sulfoxide synthase activity"
"28570","GO:0061687","detoxification of inorganic compound"
"28571","GO:0061688","glycolytic process via Entner-Doudoroff Pathway"
"28572","GO:0061689","tricellular tight junction"
"28573","GO:0061690","lipoamidase activity"
"28574","GO:0061691","detoxification of hydrogen peroxide"
"28575","GO:0061692","cellular detoxification of hydrogen peroxide"
"28576","GO:0061693","alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase activity"
"28577","GO:0061694","alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase complex"
"28578","GO:0061695","transferase complex, transferring phosphorus-containing groups"
"28579","GO:0061696","pituitary gonadotropin complex"
"28580","GO:0061697","protein-glutaryllysine deglutarylase activity"
"28581","GO:0061698","protein deglutarylation"
"28582","GO:0061699","peptidyl-lysine deglutarylation"
"28583","GO:0061700","GATOR2 complex"
"28584","GO:0061701","bacterial outer membrane vesicle"
"28585","GO:0061702","inflammasome complex"
"28586","GO:0061703","pyroptosome complex"
"28587","GO:0061704","glycolytic process from sucrose"
"28588","GO:0061705","sucrose catabolic process to fructose-6-phosphate through glucose and fructose"
"28589","GO:0061706","glycolytic process from sucrose through glucose and fructose"
"28590","GO:0061707","extracellular exosome macropinocytosis"
"28591","GO:0061708","tRNA-5-taurinomethyluridine 2-sulfurtransferase"
"28592","GO:0061709","reticulophagy"
"28593","GO:0061710","L-threonylcarbamoyladenylate synthase"
"28594","GO:0061711","N(6)-L-threonylcarbamoyladenine synthase activity"
"28595","GO:0061712","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase"
"28596","GO:0061713","anterior neural tube closure"
"28597","GO:0061714","folic acid receptor activity"
"28598","GO:0061715","miRNA 2'-O-methylation"
"28599","GO:0061716","miRNA export from nucleus"
"28600","GO:0061718","glucose catabolic process to pyruvate"
"28601","GO:0061719","glucose catabolic process to pyruvate utilizing ADP"
"28602","GO:0061720","6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde"
"28603","GO:0061721","6-sulfoquinovose(1-) catabolic process to 3-sulfopropanediol(1-)"
"28604","GO:0061722","sulphoglycolysis"
"28605","GO:0061723","glycophagy"
"28606","GO:0061724","lipophagy"
"28607","GO:0061725","cytosolic lipolysis"
"28608","GO:0061726","mitochondrion disassembly"
"28609","GO:0061727","methylglyoxal catabolic process to lactate"
"28610","GO:0061728","GDP-mannose biosynthetic process from mannose"
"28611","GO:0061729","GDP-mannose biosynthetic process from fructose-6-phosphate"
"28612","GO:0061730","C-rich strand telomeric DNA binding"
"28613","GO:0061731","ribonucleoside-diphosphate reductase activity"
"28614","GO:0061732","mitochondrial acetyl-CoA biosynthetic process from pyruvate"
"28615","GO:0061733","peptide-lysine-N-acetyltransferase activity"
"28616","GO:0061734","parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization"
"28617","GO:0061735","DNM1L-mediated stimulation of mitophagy in response to mitochondrial depolarization"
"28618","GO:0061736","engulfment of target by autophagosome"
"28619","GO:0061737","leukotriene signaling pathway"
"28620","GO:0061738","late endosomal microautophagy"
"28621","GO:0061739","protein lipidation involved in autophagosome assembly"
"28622","GO:0061740","protein targeting to lysosome involved in chaperone-mediated autophagy"
"28623","GO:0061741","chaperone-mediated protein transport involved in chaperone-mediated autophagy"
"28624","GO:0061742","chaperone-mediated autophagy translocation complex"
"28625","GO:0061743","motor learning"
"28626","GO:0061744","motor behavior"
"28627","GO:0061749","forked DNA-dependent helicase activity"
"28628","GO:0061750","acid sphingomyelin phosphodiesterase activity"
"28629","GO:0061751","neutral sphingomyelin phosphodiesterase activity"
"28630","GO:0061752","telomeric repeat-containing RNA binding"
"28631","GO:0061753","substrate localization to autophagosome"
"28632","GO:0061754","negative regulation of circulating fibrinogen levels"
"28633","GO:0061755","positive regulation of circulating fibrinogen levels"
"28634","GO:0061756","leukocyte adhesion to vascular endothelial cell"
"28635","GO:0061757","leukocyte adhesion to arterial endothelial cell"
"28636","GO:0061758","2-hydroxyglutarate dehydrogenase activity, forward reaction"
"28637","GO:0061759","alpha-ketoglutarate reductase activity"
"28638","GO:0061760","antifungal innate immune response"
"28639","GO:0061761","alpha-latrotoxin receptor binding"
"28640","GO:0061762","CAMKK-AMPK signaling cascade"
"28641","GO:0061763","multivesicular body-lysosome fusion"
"28642","GO:0061764","late endosome to lysosome transport via multivesicular body sorting pathway"
"28643","GO:0061765","modulation by virus of host NIK/NF-kappaB signaling"
"28644","GO:0061766","positive regulation of lung blood pressure"
"28645","GO:0061767","negative regulation of lung blood pressure"
"28646","GO:0061768","magnesium:sodium antiporter activity"
"28647","GO:0061769","ribosylnicotinate kinase activity"
"28648","GO:0061770","translation elongation factor binding"
"28649","GO:0061771","response to caloric restriction"
"28650","GO:0061772","xenobiotic transport across blood-nerve barrier"
"28651","GO:0061773","eNoSc complex"
"28652","GO:0061774","cohesin unloading"
"28653","GO:0061775","cohesin ATPase activity"
"28654","GO:0061776","topological DNA entrapment activity"
"28655","GO:0061778","intracellular chloride channel activity"
"28656","GO:0061779","Tapasin-ERp57 complex"
"28657","GO:0061780","mitotic cohesin loading"
"28658","GO:0061781","mitotic cohesin unloading"
"28659","GO:0061782","vesicle fusion with vesicle"
"28660","GO:0061783","peptidoglycan muralytic activity"
"28661","GO:0061784","peptidoglycan N-acetylglucosaminidase activity"
"28662","GO:0061785","peptidoglycan endopeptidase activity"
"28663","GO:0061786","peptidoglycan stem peptide endopeptidase activity"
"28664","GO:0061787","peptidoglycan cross-bridge peptide endopeptidase activity"
"28665","GO:0061788","EGF repeat binding"
"28666","GO:0061789","dense core granule priming"
"28667","GO:0061790","dense core granule docking"
"28668","GO:0061791","GTPase motor activity"
"28669","GO:0061792","secretory granule maturation"
"28670","GO:0061793","chromatin lock complex"
"28671","GO:0061794","conidium development"
"28672","GO:0061795","Golgi lumen acidification"
"28673","GO:0061796","membrane addition at site of mitotic cytokinesis"
"28674","GO:0061797","pH-gated chloride channel activity"
"28675","GO:0061798","GTP 3',8'-cyclase activity"
"28676","GO:0061799","cyclic pyranopterin monophosphate synthase activity"
"28677","GO:0061800","fibronectin fibril"
"28678","GO:0061801","laminin-5B complex"
"28679","GO:0061802","anterior cell cortex"
"28680","GO:0061803","posterior cell cortex"
"28681","GO:0061804","mitotic spindle formation (spindle phase one)"
"28682","GO:0061805","mitotic spindle elongation (spindle phase three)"
"28683","GO:0061806","regulation of DNA recombination at centromere"
"28684","GO:0061807","positive regulation of DNA recombination at centromere"
"28685","GO:0061808","negative regulation of DNA recombination at centromere"
"28686","GO:0061809","NAD+ nucleotidase, cyclic ADP-ribose generating"
"28687","GO:0061810","NAD glycohydrolase activity"
"28688","GO:0061811","ADP-ribosyl cyclase activity"
"28689","GO:0061812","cyclic ADP-ribose hydrolase"
"28690","GO:0061814","condensin I complex"
"28691","GO:0061815","ubiquitinyl hydrolase activity, acting on linear ubiquitin"
"28692","GO:0061816","proteaphagy"
"28693","GO:0061817","endoplasmic reticulum-plasma membrane tethering"
"28694","GO:0061818","tRNA folding"
"28695","GO:0061819","telomeric DNA-containing double minutes formation"
"28696","GO:0061820","telomeric D-loop disassembly"
"28697","GO:0061821","telomeric D-loop binding"
"28698","GO:0061822","ciliary cap"
"28699","GO:0061823","ring centriole"
"28700","GO:0061824","cytosolic ciliogenesis"
"28701","GO:0061825","podosome core"
"28702","GO:0061826","podosome ring"
"28703","GO:0061827","sperm head"
"28704","GO:0061828","apical tubulobulbar complex"
"28705","GO:0061829","basal tubulobulbar complex"
"28706","GO:0061830","concave side of sperm head"
"28707","GO:0061831","apical ectoplasmic specialization"
"28708","GO:0061832","basal ectoplasmic specialization"
"28709","GO:0061833","protein localization to tricellular tight junction"
"28710","GO:0061834","actin filament branch point"
"28711","GO:0061835","ventral surface of cell"
"28712","GO:0061836","intranuclear rod"
"28713","GO:0061837","neuropeptide processing"
"28714","GO:0061838","CENP-T-W-S-X complex"
